SNR_Target_dB, MSE_LS                , MSE_LMMSE             , Gain_dB
-5.0         , 0.07759324362435545   , 0.07743115833594338   , 0.009081508603203434
-5.0         , 0.04821098740683391   , 0.04745016265978752   , 0.06908320804653864
-5.0         , 0.018325275846188604  , 0.018242528634747908  , 0.019654840737240505
-5.0         , 0.12377777784781933   , 0.12393288664945872   , -0.005438837733319223
-5.0         , 0.05256976689693734   , 0.052544084327029894  , 0.002122231938792343
-5.0         , 0.19568703488981773   , 0.19300133571331368   , 0.06001738068166672
-5.0         , 0.06508411308758204   , 0.06277207190700249   , 0.1570852744881321
-5.0         , 0.08158959757634066   , 0.07920707294326419   , 0.12870826611205982
-5.0         , 0.07255525577108288   , 0.07178624769649689   , 0.04627624283549778
-5.0         , 0.23051800488259952   , 0.22930268964523384   , 0.022957032454171685
-5.0         , 0.17848094381934612   , 0.1748417014805764    , 0.08946829664364753
-5.0         , 0.14171160830413365   , 0.1417392510512238    , -0.0008470669371942115
-5.0         , 0.055884981793783456  , 0.055621098442322735  , 0.020555524346022588
-5.0         , 0.039648754279853246  , 0.039865902152995805  , -0.023720496757861198
-5.0         , 0.021920036760336187  , 0.022067557571936444  , -0.029129901560765753
-5.0         , 0.07244672286773528   , 0.0717640100135222    , 0.04112046786779906
-5.0         , 0.045070091274505425  , 0.04519783281415641   , -0.012291737817990823
-5.0         , 0.1391220615007616    , 0.13613082891621334   , 0.09439515392056738
-5.0         , 0.053741622632325875  , 0.052822741353182774  , 0.07489838911427743
-5.0         , 0.06541457186491934   , 0.06447723828128228   , 0.06268076008421536
-5.0         , 0.2510846062236877    , 0.24789307900176136   , 0.055556855720829676
-5.0         , 0.040239327230908346  , 0.03997235694668375   , 0.02890954119549682
-5.0         , 0.10781999214204259   , 0.10569425564680661   , 0.08647911264844808
-5.0         , 0.022290808577456384  , 0.02229202453750312   , -0.00023690048466938445
-5.0         , 0.022597321977160134  , 0.022514356632420032  , 0.01597432555992823
-5.0         , 0.7382128259375186    , 0.7285354386132993    , 0.05730904208682226
9
-5.0         , 0.021350467743867504  , 0.021825907792692115  , -0.09564922174656874
-5.0         , 0.028378937833145105  , 0.028170912402384868  , 0.03195223464685047
-5.0         , 0.09246350783039663   , 0.09144179964769894   , 0.0482560070920605
-5.0         , 0.09941313517071243   , 0.09795464184897906   , 0.06418749213478453
-5.0         , 0.07814036819495117   , 0.07825611351421839   , -0.006428221669942769
-5.0         , 0.19187439498032632   , 0.19173181250816781   , 0.0032284557714327405
-5.0         , 0.05841405832397261   , 0.05715356995651567   , 0.09474017240871073
-5.0         , 0.03758889993040069   , 0.03757474744625867   , 0.0016354570474572943
-5.0         , 0.06256375417106602   , 0.06243360387160985   , 0.009043963517889032
-5.0         , 0.05829795686208247   , 0.05785358817687739   , 0.03323034737226473
-5.0         , 0.10198436888178324   , 0.10091927811892132   , 0.04559477333395229
-5.0         , 0.03717370532368749   , 0.036873226597056934  , 0.03524709689355815
-5.0         , 0.2584747544615356    , 0.25755207956932424   , 0.015530705571448474
-5.0         , 0.7736133468589782    , 0.7664752365063179    , 0.04025825747342851
-5.0         , 0.3074753416683764    , 0.3037615742610651    , 0.05277457879784175
-5.0         , 0.26966522570407275   , 0.2618543903004945    , 0.12765086473438536
-5.0         , 0.18510282029871397   , 0.18476167797578438   , 0.008011380983915045
-5.0         , 0.05326366889901984   , 0.05324140226465166   , 0.001815927912518921
-5.0         , 0.163398600495433     , 0.1630451328716133    , 0.009404934624741214
-5.0         , 0.0386129678625489    , 0.0372553179247004    , 0.15544909689839082
-5.0         , 0.022124214269070273  , 0.021772396460485708  , 0.06961621958850528
-5.0         , 0.023688122266104335  , 0.023690383096687525  , -0.0004144775104338957
-5.0         , 0.046113508689488     , 0.04661274676184448   , -0.0467652735345592
-5.0         , 0.018953885921779757  , 0.01879118407435463   , 0.037441155725696895
-5.0         , 0.0038624703854266943 , 0.00389608582388623   , -0.03763352455998964
-5.0         , 0.07805591033915886   , 0.07686010988604673   , 0.06704792084365463
-5.0         , 0.014234624530182947  , 0.014211362082800943  , 0.00710311435009706
